,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_uri,track_href,analysis_url,duration_ms,time_signature
270,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,audio_features,4EWBhKf1fOFnyMtUzACXEc,4EWBhKf1fOFnyMtUzACXEc,https://api.spotify.com/v1/tracks/4EWBhKf1fOFnyMtUzACXEc,https://api.spotify.com/v1/audio-analysis/4EWBhKf1fOFnyMtUzACXEc,267520,4
271,0.691,0.389,4,-8.247,1,0.0367,0.765,0.0,0.0941,0.306,104.952,audio_features,6D6HVKe7Qu3imn4zzJD0W9,6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/tracks/6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/audio-analysis/6D6HVKe7Qu3imn4zzJD0W9,227032,4
272,0.571,0.443,0,-6.76,1,0.0451,0.3,6.95e-06,0.101,0.621,143.923,audio_features,1Qu24vc8msUVLcMZWa4k1x,1Qu24vc8msUVLcMZWa4k1x,https://api.spotify.com/v1/tracks/1Qu24vc8msUVLcMZWa4k1x,https://api.spotify.com/v1/audio-analysis/1Qu24vc8msUVLcMZWa4k1x,247720,3
273,0.762,0.433,5,-8.937,1,0.187,0.143,0.0,0.118,0.394,122.074,audio_features,4lsHZ92XCFOQfzJFBTluk8,4lsHZ92XCFOQfzJFBTluk8,https://api.spotify.com/v1/tracks/4lsHZ92XCFOQfzJFBTluk8,https://api.spotify.com/v1/audio-analysis/4lsHZ92XCFOQfzJFBTluk8,203145,4
274,0.784,0.521,1,-8.217,0,0.0529,0.323,0.000283,0.0518,0.682,78.456,audio_features,7t4ihBlcMdkyUeO6W1DfYH,7t4ihBlcMdkyUeO6W1DfYH,https://api.spotify.com/v1/tracks/7t4ihBlcMdkyUeO6W1DfYH,https://api.spotify.com/v1/audio-analysis/7t4ihBlcMdkyUeO6W1DfYH,180435,3
275,0.581,0.21,8,-10.426,1,0.0321,0.768,0.0,0.369,0.452,80.099,audio_features,5GUYJTQap5F3RDQiCOJhrS,5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/tracks/5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS,249668,4
276,0.395,0.445,7,-8.894,1,0.0389,0.163,0.000455,0.277,0.226,84.39,audio_features,70J41y3r0fVKxDClOOp09K,70J41y3r0fVKxDClOOp09K,https://api.spotify.com/v1/tracks/70J41y3r0fVKxDClOOp09K,https://api.spotify.com/v1/audio-analysis/70J41y3r0fVKxDClOOp09K,266325,4
277,0.878,0.475,10,-5.839,1,0.0846,0.268,0.0,0.0769,0.566,124.977,audio_features,6uSHO11NQkKABSvfjc3VVS,6uSHO11NQkKABSvfjc3VVS,https://api.spotify.com/v1/tracks/6uSHO11NQkKABSvfjc3VVS,https://api.spotify.com/v1/audio-analysis/6uSHO11NQkKABSvfjc3VVS,320410,4
278,0.589,0.242,6,-10.517,1,0.0442,0.914,0.0,0.0887,0.257,89.749,audio_features,4VuS959DSpr82t3qBqCrWG,4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/tracks/4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/audio-analysis/4VuS959DSpr82t3qBqCrWG,221107,4
279,0.681,0.413,2,-10.312,1,0.0316,0.384,0.00112,0.0978,0.226,114.994,audio_features,6dB4Y5ydC6cc7jsqr71ip8,6dB4Y5ydC6cc7jsqr71ip8,https://api.spotify.com/v1/tracks/6dB4Y5ydC6cc7jsqr71ip8,https://api.spotify.com/v1/audio-analysis/6dB4Y5ydC6cc7jsqr71ip8,217693,4
280,0.782,0.497,0,-5.415,1,0.286,0.0391,0.0,0.209,0.522,77.488,audio_features,1kdixtbMh0JUWlvSDmfM9I,1kdixtbMh0JUWlvSDmfM9I,https://api.spotify.com/v1/tracks/1kdixtbMh0JUWlvSDmfM9I,https://api.spotify.com/v1/audio-analysis/1kdixtbMh0JUWlvSDmfM9I,155200,4
281,0.663,0.503,0,-7.374,1,0.0899,0.652,2.35e-06,0.0806,0.348,79.866,audio_features,1lw9AtyAmoxyTOGfY8bmlk,1lw9AtyAmoxyTOGfY8bmlk,https://api.spotify.com/v1/tracks/1lw9AtyAmoxyTOGfY8bmlk,https://api.spotify.com/v1/audio-analysis/1lw9AtyAmoxyTOGfY8bmlk,212600,4
